,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.02,0.62,1.43,2.51,0.0
ENE,0.0,0.1,1.15,1.65,1.51,0.0
E,0.05,0.24,0.79,1.22,0.62,0.0
ESE,0.12,0.45,0.67,1.46,1.29,0.0
SE,0.07,0.29,0.91,1.27,1.05,0.0
SSE,0.05,0.33,0.55,0.86,0.81,0.0
S,0.1,0.26,0.62,1.15,0.55,0.0
SSW,0.05,0.29,0.81,1.6,1.63,0.0
SW,0.07,0.33,0.36,0.43,0.86,0.0
WSW,0.0,0.22,0.57,0.98,1.2,0.0
W,0.0,0.43,0.86,0.96,1.96,0.0
WNW,0.0,0.07,0.38,0.86,1.24,0.0
NW,0.0,0.0,0.0,0.05,0.41,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
