,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.02,0.02,0.0
NE,0.0,0.16,0.62,0.67,0.88,0.0
ENE,0.12,0.35,0.58,0.83,1.13,0.0
E,0.14,0.21,0.55,1.09,0.55,0.0
ESE,0.14,0.32,0.76,1.83,1.96,0.0
SE,0.44,0.6,1.34,1.73,1.85,0.0
SSE,0.18,0.32,0.72,0.97,0.86,0.0
S,0.14,0.58,0.92,1.13,0.51,0.0
SSW,0.32,0.37,0.67,1.41,1.6,0.0
SW,0.28,0.39,0.62,1.04,1.11,0.0
WSW,0.28,0.44,0.6,1.09,1.66,0.0
W,0.28,0.65,1.04,1.2,1.06,0.0
WNW,0.07,0.55,0.83,0.9,0.65,0.0
NW,0.0,0.0,0.0,0.0,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
