,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.0,0.0,0.0
NE,0.0,0.21,0.28,0.07,0.02,0.0
ENE,0.0,0.14,0.21,0.18,0.07,0.0
E,0.02,0.07,0.16,0.3,0.02,0.0
ESE,0.02,0.16,0.09,0.3,0.49,0.0
SE,0.0,0.09,0.0,0.02,0.09,0.0
SSE,0.05,0.02,0.0,0.0,0.0,0.0
S,0.05,0.07,0.02,0.0,0.0,0.0
SSW,0.0,0.09,0.12,0.14,0.09,0.0
SW,0.02,0.12,0.12,0.14,0.05,0.0
WSW,0.02,0.23,0.09,0.05,0.14,0.0
W,0.0,0.12,0.14,0.35,0.23,0.0
WNW,0.0,0.02,0.05,0.0,0.0,0.0
NW,0.0,0.0,0.0,0.0,0.0,
NNW,0.0,0.0,0.0,0.0,0.0,
