,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.04,0.11,0.02,0.0,0.0
NE,0.09,0.56,2.39,2.15,1.5,0.0
ENE,0.11,0.63,2.42,2.26,1.57,0.0
E,0.2,0.94,1.41,1.59,1.16,0.0
ESE,0.22,0.6,1.21,2.51,2.8,0.0
SE,0.13,0.67,0.92,1.43,0.69,0.0
SSE,0.2,0.56,0.63,0.85,0.25,0.0
S,0.2,0.69,1.5,0.96,0.31,0.0
SSW,0.11,0.85,1.48,1.99,0.96,0.0
SW,0.18,1.12,1.14,0.96,0.81,0.0
WSW,0.2,0.92,1.39,1.5,1.45,0.0
W,0.2,1.48,2.33,2.73,4.59,0.0
WNW,0.27,0.67,1.32,0.87,0.6,0.0
NW,0.07,0.0,0.04,0.09,0.09,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
