,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.05,0.18,0.76,0.97,1.04,0.0
ENE,0.0,0.18,0.76,0.76,1.04,0.0
E,0.0,0.21,0.88,0.72,0.37,0.0
ESE,0.07,0.28,0.86,1.27,0.92,0.0
SE,0.12,0.28,0.51,0.99,0.55,0.0
SSE,0.07,0.3,1.06,1.11,0.99,0.0
S,0.07,0.21,1.09,2.1,1.2,0.0
SSW,0.02,0.3,0.95,2.75,3.4,0.0
SW,0.05,0.3,1.02,0.97,1.36,0.0
WSW,0.0,0.42,1.23,2.13,1.62,0.0
W,0.02,0.58,1.04,2.08,2.33,0.0
WNW,0.0,0.14,0.67,0.65,0.62,0.0
NW,0.0,0.0,0.09,0.21,0.18,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
