,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.0,0.29,0.38,0.86,1.29,0.0
ENE,0.07,0.38,0.96,1.51,1.6,0.0
E,0.26,0.41,1.05,0.72,1.0,0.0
ESE,0.31,0.77,1.63,1.98,2.58,0.0
SE,0.24,0.41,0.86,1.89,2.08,0.0
SSE,0.29,0.43,0.53,1.12,0.96,0.0
S,0.26,0.33,1.15,1.39,0.72,0.0
SSW,0.36,0.67,0.91,2.39,1.39,0.0
SW,0.19,0.6,0.77,1.03,1.43,0.0
WSW,0.24,0.74,1.22,1.24,1.75,0.0
W,0.19,1.03,1.29,2.1,2.49,0.0
WNW,0.02,0.43,1.0,1.48,1.79,0.0
NW,0.0,0.0,0.12,0.17,0.19,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
