,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.02,0.0
NE,0.0,0.0,0.27,1.24,1.86,0.0
ENE,0.0,0.02,0.45,1.49,1.56,0.0
E,0.0,0.02,0.47,0.84,0.89,0.0
ESE,0.0,0.07,0.62,1.29,1.51,0.0
SE,0.0,0.05,0.32,0.67,1.02,0.0
SSE,0.0,0.02,0.59,0.69,0.92,0.0
S,0.05,0.17,0.74,1.78,1.02,0.0
SSW,0.0,0.32,1.04,1.56,1.61,0.0
SW,0.0,0.35,1.14,1.11,0.74,0.0
WSW,0.0,0.2,0.94,2.53,1.51,0.0
W,0.0,0.15,0.97,2.06,2.65,0.0
WNW,0.0,0.02,0.27,0.69,0.84,0.0
NW,0.0,0.0,0.05,0.1,0.15,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
