Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
15-04-11_00,2.8,11.9,6.1,0.0,167.0,5.0
15-04-12_00,2.4,8.2,5.7,0.0,267.0,6.0
15-04-13_00,3.3,16.9,9.5,0.0,258.0,5.0
15-04-14_00,7.3,21.7,15.3,0.0,165.0,3.0
15-04-15_00,6.5,15.9,11.7,0.0,264.0,5.0
15-04-16_00,6.7,14.1,10.0,0.0,243.0,2.0
15-04-17_00,4.4,16.4,10.5,0.0,159.0,2.0
15-04-18_00,10.8,18.6,14.5,0.0,242.0,4.0
15-04-19_00,3.9,9.8,6.5,0.0,145.0,3.0
15-04-20_00,2.1,12.0,6.8,0.0,150.0,3.0
15-04-21_00,5.1,10.5,8.1,0.0,111.0,4.0
15-04-22_00,7.6,12.2,9.7,0.0,193.0,3.0
15-04-23_00,5.4,9.2,7.0,0.0,199.0,2.0
15-04-24_00,1.8,6.0,4.2,0.0,266.0,5.0
15-04-25_00,0.3,3.7,1.9,0.0,285.0,5.0
15-04-26_00,0.7,11.0,5.7,0.0,278.0,4.0
15-04-27_00,4.4,11.7,7.9,0.0,270.0,2.0
15-04-28_00,5.6,14.3,9.7,0.0,189.0,2.0
15-04-29_00,7.6,19.7,13.0,0.0,172.0,2.0
15-04-30_00,8.4,16.0,12.1,0.0,128.0,3.0
15-05-01_00,6.3,16.1,11.6,0.0,72.0,3.0
15-05-02_00,8.3,18.4,14.0,0.0,120.0,2.0
15-05-03_00,13.1,23.4,18.3,0.0,229.0,2.0
15-05-04_00,13.9,24.7,19.6,0.0,245.0,3.0
15-05-05_00,16.0,27.4,20.9,0.0,244.0,4.0
15-05-06_00,12.4,20.0,16.2,0.0,258.0,3.0
15-05-07_00,13.4,24.3,18.8,0.0,239.0,3.0
15-05-08_00,15.0,26.9,21.6,0.0,258.0,4.0
15-05-09_00,14.1,30.0,23.1,0.0,181.0,2.0
15-05-10_00,16.5,27.2,21.9,0.0,150.0,2.0
15-05-11_00,13.8,24.2,18.9,0.0,164.0,3.0
15-05-12_00,8.1,13.2,9.0,0.0,73.0,3.0
15-05-13_00,8.1,22.4,14.3,0.0,214.0,4.0
15-05-14_00,7.1,17.4,12.2,0.0,267.0,4.0
15-05-15_00,8.2,18.1,13.6,0.0,263.0,3.0
15-05-16_00,11.2,21.1,16.1,0.0,189.0,3.0
15-05-17_00,15.2,21.0,18.4,0.0,192.0,2.0
15-05-18_00,15.9,24.7,20.2,0.0,174.0,2.0
15-05-19_00,12.5,28.1,21.0,0.0,141.0,2.0
15-05-20_00,15.3,26.2,20.4,0.0,207.0,4.0
15-05-21_00,6.4,15.6,11.4,0.0,283.0,5.0
15-05-22_00,9.3,19.6,13.9,0.0,252.0,5.0
15-05-23_00,5.0,14.0,9.5,0.0,235.0,4.0
15-05-24_00,3.0,15.8,9.1,0.0,268.0,4.0
15-05-25_00,13.2,25.2,18.3,0.0,247.0,5.0
15-05-26_00,15.5,20.5,18.0,0.0,207.0,3.0
15-05-27_00,16.2,28.4,23.1,0.0,238.0,4.0
15-05-28_00,21.8,27.4,24.9,0.0,222.0,3.0
15-05-29_00,17.3,23.1,20.3,0.0,244.0,3.0
15-05-30_00,14.2,25.2,19.8,0.0,153.0,2.0
15-05-31_00,19.2,30.3,23.6,0.0,222.0,4.0
15-06-01_00,8.4,16.1,11.4,0.0,109.0,4.0
15-06-02_00,9.8,13.6,11.8,0.0,79.0,4.0
15-06-03_00,8.2,12.2,9.7,0.0,90.0,3.0
15-06-04_00,6.7,17.4,12.1,0.0,135.0,2.0
15-06-05_00,10.6,24.2,17.7,0.0,133.0,3.0
15-06-06_00,16.2,23.1,18.7,0.0,236.0,2.0
15-06-07_00,9.9,20.7,15.4,0.0,196.0,3.0
15-06-08_00,12.0,21.6,17.4,0.0,146.0,2.0
15-06-09_00,14.3,22.3,17.6,0.0,166.0,3.0
15-06-10_00,16.5,22.0,18.8,0.0,211.0,2.0
15-06-11_00,16.1,24.3,19.5,0.0,229.0,3.0
15-06-12_00,16.5,22.6,19.8,0.0,257.0,4.0
15-06-13_00,15.9,21.0,18.5,0.0,216.0,3.0
15-06-14_00,15.3,26.8,20.6,0.0,271.0,3.0
15-06-15_00,15.9,23.8,20.0,0.0,122.0,2.0
15-06-16_00,17.0,21.1,19.2,0.0,124.0,3.0
15-06-17_00,17.6,22.1,19.2,0.0,213.0,2.0
15-06-18_00,13.8,22.4,18.1,0.0,181.0,2.0
15-06-19_00,16.4,26.3,21.1,0.0,188.0,3.0
15-06-20_00,11.9,20.7,17.3,0.0,208.0,3.0
15-06-21_00,12.9,24.4,19.3,0.0,159.0,2.0
15-06-22_00,18.6,24.5,21.2,0.0,131.0,2.0
15-06-23_00,17.8,26.7,22.0,0.0,236.0,2.0
15-06-24_00,19.1,25.7,21.3,0.0,195.0,4.0
15-06-25_00,14.2,23.5,18.6,0.0,283.0,4.0
15-06-26_00,14.9,22.5,19.0,0.0,273.0,2.0
15-06-27_00,15.3,24.6,20.3,0.0,177.0,2.0
15-06-28_00,15.1,23.9,20.4,0.0,144.0,2.0
15-06-29_00,12.8,19.9,14.9,0.0,96.0,4.0
15-06-30_00,12.1,19.1,15.7,0.0,221.0,2.0
15-07-01_00,15.1,24.8,19.6,0.0,186.0,3.0
