,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.02,0.07,0.05,0.02,0.0,0.0
NE,0.0,0.32,0.46,0.67,1.13,0.0
ENE,0.09,0.35,0.9,1.5,1.02,0.0
E,0.23,0.25,1.39,1.2,0.44,0.0
ESE,0.51,0.42,1.27,2.01,1.92,0.0
SE,0.35,0.46,1.2,1.76,1.06,0.0
SSE,0.39,0.44,1.32,1.2,0.42,0.0
S,0.28,0.58,1.46,1.48,0.79,0.0
SSW,0.18,0.74,1.71,2.75,2.91,0.0
SW,0.23,0.62,0.95,1.6,1.02,0.0
WSW,0.16,0.99,1.36,1.76,2.06,0.0
W,0.05,0.74,1.66,3.01,3.28,0.0
WNW,0.05,0.28,0.53,1.18,0.65,0.0
NW,0.0,0.0,0.05,0.12,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
