,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.02,0.02,0.0,0.02,0.0,0.0
NE,0.05,0.69,1.32,1.02,1.27,0.0
ENE,0.44,0.67,0.9,1.34,1.02,0.0
E,0.35,0.51,0.83,0.62,0.58,0.0
ESE,0.23,0.42,0.97,1.09,1.23,0.0
SE,0.28,0.25,0.39,0.69,0.6,0.0
SSE,0.16,0.35,0.51,0.72,0.39,0.0
S,0.3,0.25,0.62,0.55,0.39,0.0
SSW,0.3,0.39,0.88,1.18,0.74,0.0
SW,0.25,0.55,0.55,0.62,0.97,0.0
WSW,0.18,1.16,1.04,1.46,1.55,0.0
W,0.21,1.09,1.48,1.94,3.37,0.0
WNW,0.07,0.51,0.99,1.41,1.09,0.0
NW,0.0,0.0,0.12,0.28,0.46,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
