,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.05,0.0
NE,0.0,0.37,1.32,1.87,2.47,0.0
ENE,0.02,0.37,1.09,2.33,2.75,0.0
E,0.12,0.35,0.99,1.69,0.9,0.0
ESE,0.16,0.44,0.92,1.36,1.66,0.0
SE,0.09,0.3,0.55,0.86,0.81,0.0
SSE,0.12,0.39,0.6,0.81,0.58,0.0
S,0.16,0.28,0.37,1.11,0.6,0.0
SSW,0.14,0.53,0.69,1.09,1.02,0.0
SW,0.09,0.44,0.69,0.99,0.76,0.0
WSW,0.16,0.67,0.9,0.97,1.66,0.0
W,0.05,0.55,1.36,2.17,3.21,0.0
WNW,0.0,0.28,0.9,0.65,1.04,0.0
NW,0.0,0.0,0.09,0.3,0.18,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
