,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.02,0.05,0.35,1.66,2.7,0.0
ENE,0.09,0.09,0.44,1.41,1.9,0.0
E,0.0,0.09,0.35,0.72,0.99,0.0
ESE,0.16,0.21,0.35,0.83,1.18,0.0
SE,0.12,0.14,0.6,1.04,0.83,0.0
SSE,0.05,0.25,0.55,0.62,0.62,0.0
S,0.09,0.32,0.49,0.6,0.28,0.0
SSW,0.09,0.35,0.92,1.99,1.73,0.0
SW,0.28,0.58,0.81,1.16,1.23,0.0
WSW,0.16,0.53,0.95,0.9,1.41,0.0
W,0.05,0.62,1.6,1.94,3.01,0.0
WNW,0.02,0.14,0.79,0.83,0.88,0.0
NW,0.0,0.02,0.07,0.07,0.14,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
