,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.51,0.74,0.69,1.05,0.0
ENE,0.0,0.26,0.41,0.67,0.77,0.0
E,0.05,0.21,0.31,0.67,0.69,0.0
ESE,0.0,0.26,0.49,1.16,1.08,0.0
SE,0.0,0.18,0.49,0.67,1.08,0.0
SSE,0.03,0.1,0.26,0.67,0.82,0.0
S,0.03,0.18,0.33,1.18,1.05,0.0
SSW,0.08,0.18,0.49,1.21,2.44,0.0
SW,0.05,0.26,0.87,1.13,0.92,0.0
WSW,0.0,0.44,1.8,1.67,1.82,0.0
W,0.0,0.21,1.72,2.62,3.08,0.0
WNW,0.0,0.03,0.31,0.51,1.18,0.0
NW,0.0,0.0,0.05,0.1,0.33,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
