,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.07,0.17,0.86,1.41,1.46,0.0
ENE,0.1,0.45,1.63,2.61,1.89,0.0
E,0.36,0.62,2.06,1.87,1.29,0.0
ESE,0.22,0.77,2.15,2.75,2.89,0.0
SE,0.33,0.84,1.43,1.87,1.84,0.0
SSE,0.36,0.36,1.46,1.39,0.57,0.0
S,0.33,0.43,1.46,1.55,0.57,0.0
SSW,0.26,0.55,1.41,2.03,1.84,0.0
SW,0.38,0.65,1.05,1.24,0.86,0.0
WSW,0.41,0.77,0.98,1.41,1.75,0.0
W,0.17,1.22,1.58,2.18,2.08,0.0
WNW,0.07,0.31,1.67,1.1,1.03,0.0
NW,0.0,0.02,0.0,0.33,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
