,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.05,0.0,0.0
NE,0.0,0.12,0.31,0.79,1.17,0.0
ENE,0.05,0.17,0.38,1.12,1.51,0.0
E,0.12,0.0,0.69,0.72,1.03,0.0
ESE,0.1,0.33,0.81,1.67,1.77,0.0
SE,0.05,0.31,0.84,1.22,1.72,0.0
SSE,0.19,0.1,0.69,1.1,0.6,0.0
S,0.1,0.31,1.0,1.65,0.84,0.0
SSW,0.12,0.29,1.32,3.06,2.65,0.0
SW,0.07,0.36,0.72,1.36,2.2,0.0
WSW,0.05,0.74,1.12,1.48,2.3,0.0
W,0.0,0.6,1.53,2.46,2.61,0.0
WNW,0.0,0.07,0.72,1.41,1.53,0.0
NW,0.0,0.0,0.0,0.0,0.0,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
