,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.02,0.25,0.62,0.92,0.42,0.0
ENE,0.25,0.32,1.02,0.99,1.04,0.0
E,0.25,0.67,1.18,1.06,0.88,0.0
ESE,0.42,0.88,1.29,2.59,3.01,0.0
SE,0.55,0.62,1.06,1.57,1.36,0.0
SSE,0.37,0.51,0.86,0.72,0.55,0.0
S,0.14,0.58,0.9,0.99,0.39,0.0
SSW,0.55,0.79,1.29,2.1,1.41,0.0
SW,0.49,0.97,1.83,2.38,1.87,0.0
WSW,0.35,0.88,1.6,2.68,2.91,0.0
W,0.14,1.02,1.69,2.36,2.87,0.0
WNW,0.14,0.92,1.99,3.28,2.91,0.0
NW,0.0,0.07,0.02,0.05,0.16,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
