,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.05,0.05,0.0
NE,0.02,0.18,0.72,0.97,0.81,0.0
ENE,0.09,0.39,0.79,0.97,0.95,0.0
E,0.12,0.39,0.39,0.79,0.69,0.0
ESE,0.07,0.28,0.9,1.8,2.66,0.0
SE,0.16,0.21,0.55,0.95,1.57,0.0
SSE,0.12,0.37,0.37,0.62,1.06,0.0
S,0.18,0.58,0.6,1.04,0.51,0.0
SSW,0.16,0.46,0.81,1.29,1.09,0.0
SW,0.12,0.62,1.04,0.95,0.9,0.0
WSW,0.07,0.72,1.41,1.78,2.06,0.0
W,0.02,0.44,1.2,1.87,2.68,0.0
WNW,0.0,0.16,0.6,0.81,0.6,0.0
NW,0.0,0.0,0.07,0.12,0.12,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
