,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,7.32,0.0,0.0,0.0,0.0,0.0
NNE,0.0,0.0,0.0,0.02,0.02,0.0
NE,0.0,0.11,0.76,1.39,1.54,0.0
ENE,0.02,0.2,0.94,2.33,2.57,0.0
E,0.04,0.31,1.1,1.97,1.48,0.0
ESE,0.07,0.56,1.41,2.19,2.33,0.0
SE,0.04,0.38,0.83,1.16,0.83,0.0
SSE,0.07,0.36,0.65,0.76,0.56,0.0
S,0.04,0.25,0.63,0.9,0.58,0.0
SSW,0.07,0.4,0.96,1.48,1.03,0.0
SW,0.0,0.38,0.6,1.12,0.63,0.0
WSW,0.09,0.34,1.03,1.19,1.01,0.0
W,0.0,0.6,1.43,1.66,1.88,0.0
WNW,0.0,0.51,0.92,1.36,1.07,0.0
NW,0.0,0.0,0.18,0.36,0.31,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
