,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.12,0.35,0.49,1.06,1.66,0.0
ENE,0.14,0.18,0.76,1.73,2.59,0.0
E,0.42,0.49,0.86,1.64,1.18,0.0
ESE,0.21,0.53,0.95,1.62,1.92,0.0
SE,0.28,0.39,0.83,1.16,1.09,0.0
SSE,0.09,0.39,0.62,0.99,0.81,0.0
S,0.28,0.46,0.79,0.95,0.99,0.0
SSW,0.18,0.6,1.23,1.85,2.5,0.0
SW,0.21,0.49,1.39,1.09,1.36,0.0
WSW,0.16,0.62,0.81,0.95,1.57,0.0
W,0.02,0.53,1.36,1.2,1.83,0.0
WNW,0.02,0.12,0.95,1.02,0.58,0.0
NW,0.0,0.0,0.05,0.21,0.12,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
