,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.02,0.0,0.0
NE,0.0,0.07,0.35,1.02,2.31,0.0
ENE,0.0,0.07,0.28,1.2,2.38,0.0
E,0.05,0.28,0.74,1.04,0.95,0.0
ESE,0.09,0.14,0.62,1.11,2.2,0.0
SE,0.16,0.35,0.51,1.25,1.83,0.0
SSE,0.16,0.28,0.42,0.95,1.2,0.0
S,0.12,0.32,0.51,0.88,0.9,0.0
SSW,0.14,0.35,0.39,1.04,0.9,0.0
SW,0.12,0.39,0.51,0.99,1.66,0.0
WSW,0.0,0.35,0.6,0.92,1.78,0.0
W,0.0,0.32,1.04,1.5,2.4,0.0
WNW,0.0,0.09,0.6,0.88,1.25,0.0
NW,0.0,0.0,0.14,0.14,0.28,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
