,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.02,0.0,0.0,0.02,0.0,0.0
NE,0.18,0.31,0.85,1.05,0.78,0.0
ENE,0.13,0.36,0.94,1.3,0.87,0.0
E,0.04,0.47,1.14,1.03,0.83,0.0
ESE,0.04,0.27,0.78,0.94,0.96,0.0
SE,0.18,0.29,0.67,0.78,0.47,0.0
SSE,0.13,0.31,0.54,0.74,0.56,0.0
S,0.18,0.34,0.76,1.1,0.51,0.0
SSW,0.18,0.69,1.19,1.16,1.66,0.0
SW,0.25,0.74,1.1,1.07,0.56,0.0
WSW,0.16,1.28,1.61,1.68,1.07,0.0
W,0.25,0.83,1.99,2.53,3.16,0.0
WNW,0.22,0.18,0.94,1.07,1.07,0.0
NW,0.0,0.0,0.07,0.22,0.11,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
