,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.1,0.02,0.02,0.0,0.0
NE,0.02,0.29,1.08,1.12,0.69,0.0
ENE,0.07,0.33,1.43,1.1,0.55,0.0
E,0.0,0.31,1.36,1.1,0.29,0.0
ESE,0.02,0.33,1.15,2.01,2.58,0.0
SE,0.05,0.5,0.88,1.29,1.48,0.0
SSE,0.29,0.93,1.36,1.7,1.05,0.0
S,0.19,0.55,1.36,2.37,0.96,0.0
SSW,0.1,0.43,1.36,2.61,2.22,0.0
SW,0.02,0.88,1.24,1.12,0.41,0.0
WSW,0.07,0.65,1.1,1.43,1.27,0.0
W,0.29,0.41,1.51,1.75,2.75,0.0
WNW,0.41,0.22,0.55,1.08,0.79,0.0
NW,0.0,0.0,0.0,0.24,0.17,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
