,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.03,0.05,0.0,0.0,0.0
NE,0.03,0.41,1.82,2.36,1.18,0.0
ENE,0.0,0.33,1.23,1.72,1.36,0.0
E,0.0,0.39,0.69,1.03,0.59,0.0
ESE,0.03,0.31,0.85,0.92,0.9,0.0
SE,0.08,0.21,0.46,0.82,0.62,0.0
SSE,0.08,0.23,0.46,0.62,0.18,0.0
S,0.1,0.59,0.9,0.85,0.41,0.0
SSW,0.05,0.33,0.64,1.03,1.16,0.0
SW,0.05,0.54,0.54,0.77,1.1,0.0
WSW,0.03,0.62,1.23,2.75,2.82,0.0
W,0.0,0.31,2.05,3.67,3.18,0.0
WNW,0.0,0.13,0.39,0.44,0.36,0.0
NW,0.0,0.0,0.03,0.13,0.28,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
