,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.02,0.0
NE,0.02,0.33,0.53,1.12,1.6,0.0
ENE,0.0,0.55,0.74,1.6,1.98,0.0
E,0.1,0.43,0.96,0.93,0.72,0.0
ESE,0.02,0.33,1.36,2.3,2.53,0.0
SE,0.14,0.45,1.03,1.77,2.49,0.0
SSE,0.22,0.17,0.79,1.03,1.39,0.0
S,0.19,0.41,0.84,0.93,0.96,0.0
SSW,0.24,0.5,0.96,1.7,1.39,0.0
SW,0.29,0.43,0.67,0.86,1.22,0.0
WSW,0.41,0.96,1.08,1.27,2.06,0.0
W,0.19,1.36,1.41,1.55,1.96,0.0
WNW,0.0,0.38,1.32,1.77,1.53,0.0
NW,0.0,0.02,0.05,0.05,0.12,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
