,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.02,0.5,1.27,1.17,1.0,0.0
ENE,0.17,0.62,1.15,1.89,1.89,0.0
E,0.26,0.31,0.88,1.17,0.45,0.0
ESE,0.48,0.48,0.72,1.32,1.63,0.0
SE,0.31,0.26,0.6,0.88,1.36,0.0
SSE,0.22,0.33,0.62,1.0,1.6,0.0
S,0.24,0.19,0.69,1.55,0.91,0.0
SSW,0.26,0.29,0.57,1.1,0.88,0.0
SW,0.22,0.48,0.5,0.6,0.81,0.0
WSW,0.14,0.79,0.86,0.96,1.41,0.0
W,0.02,0.88,1.12,1.63,2.75,0.0
WNW,0.0,0.67,0.91,0.91,0.98,0.0
NW,0.0,0.0,0.33,0.22,0.19,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
