,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.09,0.0,0.0,0.0
NE,0.0,0.83,1.62,0.6,0.18,0.0
ENE,0.02,0.46,0.67,0.46,0.12,0.0
E,0.02,0.25,0.46,0.25,0.05,0.0
ESE,0.05,0.14,0.35,0.44,0.88,0.0
SE,0.07,0.07,0.35,0.86,1.64,0.0
SSE,0.05,0.25,0.65,1.29,0.92,0.0
S,0.02,0.18,0.53,1.53,1.55,0.0
SSW,0.09,0.21,0.76,2.08,1.55,0.0
SW,0.02,0.14,0.55,1.43,1.5,0.0
WSW,0.02,0.16,1.29,1.87,2.15,0.0
W,0.0,0.09,0.53,1.23,1.9,0.0
WNW,0.0,0.05,0.16,0.49,0.32,0.0
NW,0.0,0.0,0.05,0.05,0.16,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
