,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.02,0.0
NE,0.02,0.16,0.99,1.55,1.5,0.0
ENE,0.05,0.21,1.11,1.69,1.36,0.0
E,0.02,0.21,0.72,1.62,0.9,0.0
ESE,0.0,0.12,1.04,2.2,1.8,0.0
SE,0.07,0.09,0.65,0.92,0.9,0.0
SSE,0.02,0.23,0.44,0.83,0.44,0.0
S,0.02,0.16,0.69,0.83,0.39,0.0
SSW,0.02,0.44,1.04,1.39,1.16,0.0
SW,0.05,0.53,0.83,0.97,1.09,0.0
WSW,0.05,0.72,1.02,0.97,1.8,0.0
W,0.0,0.42,2.27,2.01,2.68,0.0
WNW,0.0,0.07,0.88,0.53,0.53,0.0
NW,0.0,0.0,0.09,0.0,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
