,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.09,0.07,0.18,0.46,0.6,0.0
ENE,0.23,0.12,0.35,0.69,0.69,0.0
E,0.18,0.21,0.51,0.72,0.76,0.0
ESE,0.14,0.21,1.13,2.94,4.25,0.0
SE,0.14,0.25,0.72,1.69,1.04,0.0
SSE,0.3,0.32,1.09,0.86,0.49,0.0
S,0.12,0.62,1.39,1.87,0.65,0.0
SSW,0.44,0.69,2.22,3.54,3.37,0.0
SW,0.21,0.65,1.66,2.5,2.84,0.0
WSW,0.14,0.3,0.58,1.62,2.84,0.0
W,0.07,0.18,1.06,1.62,2.73,0.0
WNW,0.0,0.05,0.3,0.92,0.65,0.0
NW,0.0,0.0,0.02,0.0,0.0,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
