,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.09,0.0,0.16,0.09,0.0
ENE,0.05,0.05,0.12,0.28,0.05,0.0
E,0.05,0.25,0.53,0.18,0.07,0.0
ESE,0.09,0.46,0.67,1.04,1.2,0.0
SE,0.12,0.42,0.79,0.9,0.62,0.0
SSE,0.16,0.53,0.74,0.76,0.37,0.0
S,0.25,0.65,1.6,1.27,0.53,0.0
SSW,0.25,0.74,1.87,2.33,1.25,0.0
SW,0.21,0.53,1.8,1.94,1.78,0.0
WSW,0.09,0.6,1.66,2.06,2.7,0.0
W,0.25,0.99,1.16,1.69,1.85,0.0
WNW,0.07,0.42,0.58,1.02,0.62,0.0
NW,0.0,0.0,0.0,0.05,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
