,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.07,0.12,0.51,0.42,0.0
ENE,0.0,0.14,0.25,0.37,0.37,0.0
E,0.05,0.21,0.32,0.32,0.18,0.0
ESE,0.14,0.18,0.46,0.95,1.27,0.0
SE,0.07,0.09,0.83,1.11,1.27,0.0
SSE,0.16,0.18,1.04,1.25,0.79,0.0
S,0.14,0.3,1.09,1.25,0.88,0.0
SSW,0.05,0.3,1.11,2.24,1.6,0.0
SW,0.14,0.25,0.81,2.52,3.56,0.0
WSW,0.12,0.49,0.81,1.6,3.31,0.0
W,0.0,0.3,0.39,1.06,1.85,0.0
WNW,0.0,0.0,0.09,0.44,0.83,0.0
NW,0.0,0.0,0.0,0.0,0.0,
NNW,0.0,0.0,0.0,0.0,0.0,
