,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.05,0.0,0.05,0
NNE,0.0,0.02,0.05,0.05,0.09,0
NE,0.0,0.14,0.81,1.23,2.38,0
ENE,0.0,0.14,0.49,1.29,1.66,0
E,0.02,0.0,0.49,1.16,0.83,0
ESE,0.12,0.23,0.28,1.04,0.65,0
SE,0.07,0.14,0.23,0.69,0.6,0
SSE,0.02,0.09,0.25,0.35,0.25,0
S,0.02,0.05,0.21,0.32,0.46,0
SSW,0.09,0.28,0.3,0.44,0.39,0
SW,0.05,0.28,0.23,0.3,0.55,0
WSW,0.09,0.62,0.69,0.74,1.04,0
W,0.16,0.86,1.36,1.78,2.31,0
WNW,0.12,0.32,0.76,1.09,1.76,0
NW,0.0,0.05,0.23,0.44,0.37,0
NNW,0.0,0.0,0.02,0.0,0.0,0
