,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.09,0.05,0.02,0.02,0.0,0.0
NE,1.25,0.62,1.02,2.34,1.57,0.0
ENE,0.18,0.65,1.06,1.32,1.62,0.0
E,0.18,0.46,0.86,1.11,1.23,0.0
ESE,0.14,0.44,0.83,1.6,2.64,0.0
SE,0.3,0.28,0.55,0.67,0.42,0.0
SSE,0.21,0.35,0.35,0.67,0.12,0.0
S,0.12,0.35,0.49,0.46,0.23,0.0
SSW,0.18,0.28,0.99,1.2,0.97,0.0
SW,0.18,0.55,0.53,0.39,0.21,0.0
WSW,0.05,0.79,0.9,0.72,1.06,0.0
W,0.02,0.65,1.78,2.4,3.05,0.0
WNW,0.0,0.51,1.18,1.32,1.11,0.0
NW,0.0,0.0,0.12,0.39,0.14,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
