,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.09,0.02,0.0,0.0,0.0
NE,0.02,0.69,0.97,1.11,1.32,0.0
ENE,0.09,0.58,1.09,0.79,0.62,0.0
E,0.07,0.51,0.69,0.42,0.3,0.0
ESE,0.14,0.42,0.97,1.06,1.04,0.0
SE,0.23,0.53,0.62,0.69,0.6,0.0
SSE,0.21,0.35,0.74,0.88,0.53,0.0
S,0.23,0.39,1.25,1.2,0.3,0.0
SSW,0.14,0.35,1.34,2.17,1.9,0.0
SW,0.35,0.6,1.34,1.11,0.53,0.0
WSW,0.16,0.6,1.2,2.01,1.99,0.0
W,0.0,0.55,1.25,2.27,3.44,0.0
WNW,0.0,0.07,0.55,0.21,0.37,0.0
NW,0.0,0.0,0.02,0.05,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
