,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.02,0.0,0.0
NE,0.02,0.26,0.5,1.27,0.77,0.0
ENE,0.17,0.36,0.77,1.55,0.67,0.0
E,0.41,0.38,0.86,1.08,0.69,0.0
ESE,0.6,1.03,1.48,2.44,2.13,0.0
SE,0.31,1.27,1.27,1.2,1.05,0.0
SSE,0.53,1.39,1.17,0.84,0.53,0.0
S,0.48,0.84,1.79,1.41,0.53,0.0
SSW,0.65,1.32,2.15,2.85,2.06,0.0
SW,0.48,1.12,1.98,2.3,1.63,0.0
WSW,0.31,1.1,1.72,2.99,2.63,0.0
W,0.17,0.6,1.63,2.2,2.27,0.0
WNW,0.0,0.17,0.72,1.53,1.15,0.0
NW,0.0,0.0,0.02,0.19,0.22,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
