Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
14-08-29_00,16.1,20.7,18.5,0.0,290.0,3.0
14-08-30_00,14.5,22.2,18.4,0.0,154.0,2.0
14-08-31_00,17.3,25.0,21.4,0.0,173.0,2.0
14-09-01_00,19.6,25.2,22.4,0.0,216.0,3.0
14-09-02_00,20.1,26.0,22.7,0.0,235.0,2.0
14-09-03_00,18.9,27.7,23.2,0.0,234.0,3.0
14-09-04_00,18.7,25.4,21.4,0.0,267.0,4.0
14-09-05_00,18.6,27.2,23.1,0.0,234.0,3.0
14-09-06_00,21.2,30.7,25.2,0.0,222.0,2.0
14-09-07_00,15.0,24.8,20.4,0.0,275.0,3.0
14-09-08_00,14.2,21.2,17.7,0.0,266.0,3.0
14-09-09_00,14.4,23.9,19.5,0.0,134.0,2.0
14-09-10_00,16.3,22.6,19.2,0.0,156.0,4.0
14-09-11_00,16.1,23.6,19.9,0.0,154.0,3.0
14-09-12_00,11.2,23.6,17.6,0.0,216.0,4.0
14-09-13_00,9.2,14.4,11.0,0.0,264.0,2.0
14-09-14_00,8.3,12.2,10.2,0.0,154.0,3.0
14-09-15_00,7.1,10.7,8.9,0.0,267.0,3.0
14-09-16_00,7.7,17.6,12.7,0.0,226.0,2.0
14-09-17_00,12.0,18.0,14.5,0.0,263.0,3.0
14-09-18_00,10.0,17.3,13.9,0.0,243.0,3.0
14-09-19_00,6.1,13.1,9.8,0.0,216.0,3.0
14-09-20_00,4.0,13.1,8.7,0.0,172.0,2.0
14-09-21_00,10.3,19.6,15.4,0.0,168.0,3.0
14-09-22_00,16.4,22.6,19.5,0.0,177.0,2.0
14-09-23_00,8.9,16.4,11.1,0.0,272.0,5.0
14-09-24_00,8.0,16.2,12.5,0.0,262.0,4.0
14-09-25_00,9.3,21.9,15.8,0.0,152.0,1.0
14-09-26_00,13.4,22.9,18.4,0.0,225.0,2.0
14-09-27_00,15.3,25.2,20.6,0.0,212.0,2.0
14-09-28_00,17.6,26.4,21.9,0.0,232.0,2.0
14-09-29_00,17.6,24.9,20.9,0.0,248.0,3.0
14-09-30_00,9.4,19.1,14.6,0.0,125.0,3.0
14-10-01_00,8.7,17.0,12.4,0.0,89.0,3.0
14-10-02_00,10.7,17.4,13.6,0.0,81.0,3.0
14-10-03_00,9.4,20.7,14.4,0.0,144.0,2.0
14-10-04_00,10.1,22.8,16.4,0.0,127.0,3.0
14-10-05_00,10.6,16.4,13.5,0.0,166.0,4.0
14-10-06_00,8.3,13.3,10.9,0.0,253.0,3.0
14-10-07_00,9.0,16.6,12.9,0.0,152.0,3.0
14-10-08_00,12.4,18.4,15.7,0.0,167.0,2.0
14-10-09_00,9.7,16.6,13.0,0.0,218.0,4.0
14-10-10_00,6.0,11.3,8.4,0.0,256.0,4.0
14-10-11_00,6.2,11.5,8.6,0.0,264.0,4.0
14-10-12_00,7.6,12.7,9.6,0.0,246.0,2.0
14-10-13_00,6.0,13.4,9.8,0.0,257.0,2.0
14-10-14_00,7.2,16.8,12.1,0.0,163.0,3.0
14-10-15_00,14.2,23.6,19.2,0.0,168.0,3.0
14-10-16_00,18.9,24.0,21.2,0.0,152.0,2.0
14-10-17_00,14.6,21.5,17.7,0.0,146.0,1.0
14-10-18_00,15.1,17.9,16.1,0.0,249.0,3.0
14-10-19_00,9.3,16.6,14.7,0.0,226.0,2.0
