,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.0,0.02,0.0
NE,0.0,0.1,0.53,1.48,1.77,0.0
ENE,0.05,0.1,0.67,1.82,2.1,0.0
E,0.14,0.31,0.79,1.17,1.03,0.0
ESE,0.12,0.26,1.17,1.6,1.27,0.0
SE,0.29,0.29,0.88,1.32,1.94,0.0
SSE,0.17,0.29,1.15,1.05,0.88,0.0
S,0.17,0.33,0.91,1.39,0.96,0.0
SSW,0.19,0.26,0.86,1.46,1.91,0.0
SW,0.12,0.36,0.91,1.55,1.65,0.0
WSW,0.19,0.43,1.05,1.65,1.94,0.0
W,0.12,0.41,1.15,2.53,2.89,0.0
WNW,0.05,0.22,0.31,0.98,1.51,0.0
NW,0.0,0.0,0.07,0.12,0.19,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
