,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.07,0.0,0.0,0.0,0.0
NE,0.13,0.22,0.67,0.81,0.27,0.0
ENE,0.18,0.29,0.58,0.45,0.47,0.0
E,0.11,0.18,0.49,0.4,0.43,0.0
ESE,0.09,0.18,0.58,1.14,1.54,0.0
SE,0.04,0.11,0.38,0.85,0.81,0.0
SSE,0.09,0.25,0.58,0.78,0.54,0.0
S,0.16,0.31,0.78,1.01,1.01,0.0
SSW,0.09,0.49,1.3,1.77,2.1,0.0
SW,0.11,0.45,0.76,1.1,1.45,0.0
WSW,0.09,0.72,1.05,1.32,1.59,0.0
W,0.04,0.74,1.19,1.61,2.8,0.0
WNW,0.0,0.2,0.63,1.01,0.94,0.0
NW,0.0,0.0,0.2,0.16,0.18,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
