,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.05,0.0,0.0,0.0,0.0
NE,0.0,0.28,0.56,1.28,1.52,0.0
ENE,0.0,0.33,0.44,0.92,0.92,0.0
E,0.08,0.33,0.67,0.54,0.46,0.0
ESE,0.1,0.46,0.85,1.87,2.41,0.0
SE,0.03,0.46,1.21,1.44,1.44,0.0
SSE,0.1,0.36,1.41,1.46,0.39,0.0
S,0.0,0.59,0.92,1.41,0.64,0.0
SSW,0.05,0.67,1.13,3.16,2.85,0.0
SW,0.08,0.54,1.26,1.8,1.93,0.0
WSW,0.05,0.64,1.13,1.49,2.31,0.0
W,0.03,0.72,1.03,1.18,2.62,0.0
WNW,0.0,0.13,0.77,0.49,0.59,0.0
NW,0.0,0.0,0.08,0.18,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
