,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.02,0.14,0.49,0.86,0.99,0.0
ENE,0.0,0.16,0.21,0.67,0.74,0.0
E,0.02,0.12,0.53,0.39,0.42,0.0
ESE,0.0,0.25,0.55,1.04,1.62,0.0
SE,0.02,0.14,0.55,0.92,1.27,0.0
SSE,0.07,0.25,0.44,0.51,0.49,0.0
S,0.05,0.12,0.62,0.74,0.51,0.0
SSW,0.02,0.18,0.51,1.16,2.61,0.0
SW,0.0,0.14,0.42,0.55,1.32,0.0
WSW,0.02,0.39,0.83,0.95,1.29,0.0
W,0.02,0.42,1.23,1.5,1.92,0.0
WNW,0.02,0.05,0.46,0.9,1.66,0.0
NW,0.0,0.0,0.02,0.05,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
