,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.02,0.6,1.02,1.23,0.0
ENE,0.0,0.16,0.39,1.18,1.32,0.0
E,0.07,0.35,0.76,0.79,0.46,0.0
ESE,0.0,0.25,0.55,0.9,1.57,0.0
SE,0.07,0.3,0.51,1.04,0.81,0.0
SSE,0.09,0.25,0.74,1.2,0.81,0.0
S,0.05,0.3,0.39,1.27,0.79,0.0
SSW,0.05,0.28,0.67,1.48,1.36,0.0
SW,0.02,0.51,0.53,0.76,0.74,0.0
WSW,0.05,0.55,1.13,1.11,1.78,0.0
W,0.0,0.39,1.25,2.01,2.91,0.0
WNW,0.0,0.07,0.23,0.6,0.74,0.0
NW,0.0,0.02,0.02,0.02,0.09,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
