,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.05,0.19,0.41,0.57,0.0
ENE,0.0,0.05,0.31,0.79,1.22,0.0
E,0.0,0.05,0.5,0.74,0.57,0.0
ESE,0.05,0.22,0.98,1.63,1.89,0.0
SE,0.05,0.17,0.98,1.48,0.96,0.0
SSE,0.07,0.33,1.0,0.93,0.43,0.0
S,0.05,0.33,1.15,1.89,0.67,0.0
SSW,0.07,0.43,1.15,2.34,1.46,0.0
SW,0.02,0.29,0.67,1.03,1.27,0.0
WSW,0.05,0.45,1.15,1.27,2.18,0.0
W,0.0,0.38,0.86,1.48,2.18,0.0
WNW,0.0,0.07,0.24,0.17,0.43,0.0
NW,0.0,0.0,0.0,0.0,0.0,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
