,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.02,0.21,1.69,2.94,2.57,0.0
ENE,0.0,0.14,1.39,2.17,1.66,0.0
E,0.05,0.09,1.23,1.25,0.58,0.0
ESE,0.09,0.21,1.06,1.57,1.23,0.0
SE,0.02,0.05,0.86,0.88,0.72,0.0
SSE,0.02,0.14,0.81,0.9,0.42,0.0
S,0.0,0.18,0.76,0.79,0.51,0.0
SSW,0.0,0.32,0.76,0.83,0.83,0.0
SW,0.02,0.46,0.69,0.67,0.95,0.0
WSW,0.0,0.86,1.62,1.27,1.25,0.0
W,0.02,0.42,2.31,3.05,3.05,0.0
WNW,0.0,0.21,0.97,1.27,0.97,0.0
NW,0.0,0.02,0.05,0.3,0.37,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
