,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.03,0.0,0.0,0.0
NE,0.05,0.26,0.46,0.64,0.95,0.0
ENE,0.18,0.31,0.69,0.98,1.34,0.0
E,0.21,0.33,0.44,0.98,1.28,0.0
ESE,0.08,0.41,0.62,1.13,1.82,0.0
SE,0.05,0.26,0.46,0.9,1.0,0.0
SSE,0.21,0.31,0.49,0.9,0.87,0.0
S,0.1,0.21,1.0,0.95,0.85,0.0
SSW,0.23,0.21,0.72,1.75,1.75,0.0
SW,0.08,0.39,0.72,0.95,0.92,0.0
WSW,0.08,0.33,0.8,1.59,1.52,0.0
W,0.03,0.31,0.67,2.26,3.57,0.0
WNW,0.0,0.05,0.15,0.31,1.18,0.0
NW,0.0,0.0,0.0,0.0,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
