,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.02,0.0,0.0
NE,0.02,0.16,0.92,1.62,2.64,0.0
ENE,0.05,0.25,1.32,2.36,3.07,0.0
E,0.05,0.46,1.2,1.85,1.27,0.0
ESE,0.25,0.76,1.36,2.31,2.17,0.0
SE,0.16,0.42,0.92,1.27,1.6,0.0
SSE,0.12,0.46,0.69,0.9,1.18,0.0
S,0.6,0.46,0.72,1.62,1.06,0.0
SSW,0.39,0.65,0.79,1.57,0.97,0.0
SW,0.62,0.32,0.99,0.99,0.97,0.0
WSW,0.46,0.51,0.86,0.9,1.18,0.0
W,0.28,1.13,1.48,1.71,1.5,0.0
WNW,0.07,0.58,1.18,1.04,0.86,0.0
NW,0.0,0.0,0.07,0.32,0.23,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
