,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.05,0.0,0.0
NE,0.25,0.25,0.86,1.55,1.92,0.0
ENE,0.37,0.25,0.51,1.43,1.09,0.0
E,0.51,0.37,1.2,1.46,0.74,0.0
ESE,0.81,0.51,1.48,1.9,2.1,0.0
SE,0.35,0.58,0.97,0.99,1.76,0.0
SSE,0.35,0.49,0.81,1.62,1.34,0.0
S,0.25,0.32,0.86,1.8,1.34,0.0
SSW,0.3,0.3,0.44,1.71,1.64,0.0
SW,0.49,0.28,0.67,0.6,0.51,0.0
WSW,0.3,0.67,0.76,0.99,1.2,0.0
W,0.25,0.72,2.24,2.82,2.77,0.0
WNW,0.02,0.14,0.74,1.78,2.47,0.0
NW,0.0,0.0,0.02,0.09,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
