,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.18,0.92,1.09,1.02,0.0
ENE,0.0,0.18,0.69,1.66,2.22,0.0
E,0.02,0.07,0.76,1.13,0.69,0.0
ESE,0.02,0.16,0.74,1.55,2.38,0.0
SE,0.0,0.09,0.49,1.09,1.27,0.0
SSE,0.02,0.16,0.44,0.65,0.55,0.0
S,0.02,0.16,0.74,0.88,0.81,0.0
SSW,0.05,0.25,0.74,1.66,2.45,0.0
SW,0.02,0.49,0.76,1.27,1.6,0.0
WSW,0.02,0.3,0.9,1.23,1.62,0.0
W,0.02,0.23,1.5,2.87,3.95,0.0
WNW,0.0,0.09,0.3,0.88,0.97,0.0
NW,0.0,0.0,0.0,0.05,0.18,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
