,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.02,0.0,0.0,0.0
NE,0.0,0.12,0.53,0.84,1.43,0.0
ENE,0.0,0.05,0.53,1.08,1.84,0.0
E,0.0,0.12,0.77,1.03,0.98,0.0
ESE,0.07,0.26,0.67,1.84,1.96,0.0
SE,0.1,0.24,0.48,1.1,0.93,0.0
SSE,0.07,0.31,0.38,0.67,0.53,0.0
S,0.07,0.29,0.57,0.84,0.43,0.0
SSW,0.07,0.14,0.45,1.2,1.34,0.0
SW,0.02,0.36,0.43,0.6,1.58,0.0
WSW,0.02,0.6,1.03,0.91,1.91,0.0
W,0.0,0.43,1.27,1.67,1.91,0.0
WNW,0.0,0.14,0.77,1.43,1.75,0.0
NW,0.0,0.0,0.12,0.29,0.43,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
