,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.05,0.02,0.0,0.0,0.0
NE,0.02,0.58,0.39,0.12,0.42,0.0
ENE,0.12,0.46,0.67,0.58,0.95,0.0
E,0.28,0.65,0.74,0.97,0.58,0.0
ESE,0.46,1.02,2.36,4.32,3.77,0.0
SE,0.35,0.81,1.8,2.17,1.64,0.0
SSE,0.39,0.72,1.78,1.55,0.67,0.0
S,0.55,0.81,1.55,1.71,0.69,0.0
SSW,0.28,0.83,2.2,3.12,2.13,0.0
SW,0.32,0.51,1.53,2.27,1.94,0.0
WSW,0.39,0.67,1.29,2.24,2.43,0.0
W,0.12,0.58,0.72,1.41,1.69,0.0
WNW,0.0,0.07,0.42,0.65,0.97,0.0
NW,0.0,0.0,0.0,0.09,0.09,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
