,0,1,2,3,4
0,0.0,31.0,0.0,-13.048027038574219,15.890575408935547
1,0.0,30.0,0.0,-13.048027038574219,15.890575408935547
2,0.0,29.0,0.0,-13.048027038574219,15.890575408935547
3,0.0,28.0,0.0,-13.048027038574219,15.890575408935547
4,0.0,27.0,0.0,-13.048027038574219,15.890575408935547
5,0.0,26.0,0.0,-13.048027038574219,15.890575408935547
6,0.0,25.0,0.0,-13.048027038574219,15.890575408935547
7,0.0,24.0,0.0,-13.048027038574219,15.890575408935547
8,0.0,23.0,0.0,-13.048027038574219,15.890575408935547
9,0.0,22.0,0.0,-13.048027038574219,15.890575408935547
10,0.0,21.0,0.0,-13.048027038574219,15.890575408935547
11,0.0,20.0,0.0,-13.048027038574219,15.890575408935547
12,0.0,19.0,0.0,-13.048027038574219,15.890575408935547
13,0.0,18.0,0.0,-13.048027038574219,15.890575408935547
14,0.0,17.0,0.0,-13.048027038574219,15.890575408935547
15,0.0,16.0,0.0,-13.048027038574219,15.890575408935547
16,0.0,15.0,0.0,-13.048027038574219,15.890575408935547
17,0.0,14.0,0.0,-13.048027038574219,15.890575408935547
18,0.0,13.0,0.0,-13.048027038574219,15.890575408935547
19,0.0,12.0,0.0,-13.048027038574219,15.890575408935547
20,0.0,11.0,0.0,-13.048027038574219,15.890575408935547
21,0.0,10.0,0.0,-13.048027038574219,15.890575408935547
22,0.0,9.0,0.0,-13.048027038574219,15.890575408935547
23,0.0,8.0,0.0,-13.048027038574219,15.890575408935547
24,0.0,7.0,0.0,-13.048027038574219,15.890575408935547
25,0.0,6.0,0.0,-13.048027038574219,15.890575408935547
26,0.0,5.0,0.0,-13.048027038574219,15.890575408935547
27,0.0,4.0,0.0,-13.048027038574219,15.890575408935547
28,0.0,3.0,0.0,-13.048027038574219,15.890575408935547
29,0.0,2.0,0.0,-13.048027038574219,15.890575408935547
30,0.0,1.0,0.0,-13.048027038574219,15.890575408935547
31,1.0,31.0,0.0,-13.048027038574219,15.890575408935547
32,1.0,30.0,0.0,-13.048027038574219,15.890575408935547
33,1.0,29.0,0.0,-13.048027038574219,15.890575408935547
34,1.0,28.0,0.0,-13.048027038574219,15.890575408935547
35,1.0,27.0,0.0,-13.048027038574219,15.890575408935547
36,1.0,26.0,0.0,-13.048027038574219,15.890575408935547
37,1.0,25.0,0.0,-13.048027038574219,15.890575408935547
38,1.0,24.0,0.0,-13.048027038574219,15.890575408935547
39,1.0,23.0,0.0,-13.048027038574219,15.890575408935547
40,1.0,22.0,0.0,-13.048027038574219,15.890575408935547
41,1.0,21.0,0.0,-13.048027038574219,15.890575408935547
42,1.0,20.0,0.0,-13.048027038574219,15.890575408935547
43,1.0,19.0,0.0,-13.048027038574219,15.890575408935547
44,1.0,18.0,0.0,-13.048027038574219,15.890575408935547
45,1.0,17.0,0.0,-13.048027038574219,15.890575408935547
46,1.0,16.0,0.0,-13.048027038574219,15.890575408935547
47,1.0,15.0,0.0,-13.048027038574219,15.890575408935547
48,1.0,14.0,0.0,-13.048027038574219,15.890575408935547
49,1.0,13.0,0.0,-13.048027038574219,15.890575408935547
50,1.0,12.0,0.0,-13.048027038574219,15.890575408935547
51,1.0,11.0,0.0,-13.048027038574219,15.890575408935547
52,1.0,10.0,0.0,-13.048027038574219,15.890575408935547
53,1.0,9.0,0.0,-13.048027038574219,15.890575408935547
54,1.0,8.0,0.0,-13.048027038574219,15.890575408935547
55,1.0,7.0,0.0,-13.048027038574219,15.890575408935547
56,1.0,6.0,0.0,-13.048027038574219,15.890575408935547
57,1.0,5.0,0.0,-13.048027038574219,15.890575408935547
58,1.0,4.0,0.0,-13.048027038574219,15.890575408935547
59,1.0,3.0,0.0,-13.048027038574219,15.890575408935547
60,1.0,2.0,0.0,-13.048027038574219,15.890575408935547
61,1.0,1.0,0.0,-13.048027038574219,15.890575408935547
62,2.0,31.0,0.0,-13.048027038574219,15.890575408935547
63,2.0,30.0,0.0,-13.048027038574219,15.890575408935547
64,2.0,29.0,0.0,-13.048027038574219,15.890575408935547
65,2.0,28.0,0.0,-13.048027038574219,15.890575408935547
66,2.0,27.0,0.0,-13.048027038574219,15.890575408935547
67,2.0,26.0,0.0,-13.048027038574219,15.890575408935547
68,2.0,25.0,0.0,-13.048027038574219,15.890575408935547
69,2.0,24.0,0.0,-13.048027038574219,15.890575408935547
70,2.0,23.0,0.0,-13.048027038574219,15.890575408935547
71,2.0,22.0,0.0,-13.048027038574219,15.890575408935547
