,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.1,0.02,0.0,0.0
NE,0.14,0.43,0.88,1.41,1.55,0.0
ENE,0.36,0.43,1.03,1.27,1.15,0.0
E,0.53,0.55,1.0,0.72,0.36,0.0
ESE,0.55,0.48,0.96,1.46,0.86,0.0
SE,0.55,0.38,0.91,0.84,0.6,0.0
SSE,0.33,0.5,0.69,0.69,0.29,0.0
S,0.29,0.36,0.74,0.88,0.84,0.0
SSW,0.33,0.57,1.12,1.34,1.63,0.0
SW,0.24,0.19,1.1,1.2,1.08,0.0
WSW,0.41,0.91,1.1,1.72,1.65,0.0
W,0.17,0.86,2.2,4.04,4.45,0.0
WNW,0.05,0.29,0.74,1.22,1.65,0.0
NW,0.02,0.05,0.05,0.24,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
