,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.07,0.5,0.57,0.43,0.31,0.0
ENE,0.29,0.45,0.81,0.69,0.48,0.0
E,0.19,0.57,0.81,0.74,0.48,0.0
ESE,0.38,0.57,0.72,1.17,1.05,0.0
SE,0.55,0.6,1.17,1.0,1.12,0.0
SSE,0.31,0.69,0.84,1.2,0.88,0.0
S,0.33,0.62,1.46,1.72,0.93,0.0
SSW,0.29,0.86,1.94,3.08,3.01,0.0
SW,0.41,0.33,0.86,1.43,2.08,0.0
WSW,0.53,0.6,1.0,1.39,1.89,0.0
W,0.48,0.88,1.65,1.51,1.96,0.0
WNW,0.36,0.29,1.43,1.17,0.84,0.0
NW,0.0,0.02,0.0,0.1,0.1,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
