,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.02,0.25,0.79,0.79,0.72,0.0
ENE,0.14,0.55,0.76,1.04,0.67,0.0
E,0.16,0.37,0.35,0.46,0.39,0.0
ESE,0.37,0.58,0.86,1.29,0.99,0.0
SE,0.44,0.6,1.13,1.41,0.9,0.0
SSE,0.28,0.44,0.95,1.04,0.44,0.0
S,0.44,0.69,0.99,0.9,0.37,0.0
SSW,0.6,0.83,1.34,1.87,1.29,0.0
SW,0.6,0.81,1.43,1.64,2.24,0.0
WSW,0.55,1.11,1.43,2.08,3.19,0.0
W,0.23,0.79,1.64,1.6,2.98,0.0
WNW,0.16,0.65,0.97,1.16,0.6,0.0
NW,0.0,0.02,0.02,0.0,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
