,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.0,0.12,0.69,1.04,0.0
ENE,0.05,0.07,0.23,0.79,1.48,0.0
E,0.02,0.02,0.37,0.55,1.16,0.0
ESE,0.12,0.09,0.35,1.18,1.5,0.0
SE,0.02,0.25,0.51,0.83,1.46,0.0
SSE,0.14,0.3,0.62,1.34,1.16,0.0
S,0.09,0.3,0.9,1.53,1.41,0.0
SSW,0.12,0.44,0.88,2.52,2.8,0.0
SW,0.18,0.37,1.11,1.8,2.43,0.0
WSW,0.23,0.49,1.2,1.96,2.52,0.0
W,0.09,0.83,1.71,2.59,3.4,0.0
WNW,0.02,0.16,0.88,1.32,1.06,0.0
NW,0.0,0.0,0.02,0.02,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
