,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.02,0.0,0.0,0.0,0.02,0.0
NE,0.02,0.39,0.12,0.42,0.67,0.0
ENE,0.25,0.37,0.23,0.42,0.44,0.0
E,0.18,0.3,0.51,0.28,0.39,0.0
ESE,0.05,0.18,0.3,0.92,1.36,0.0
SE,0.14,0.12,0.51,0.79,1.48,0.0
SSE,0.07,0.05,0.53,0.76,1.02,0.0
S,0.02,0.14,0.51,1.25,0.83,0.0
SSW,0.07,0.14,0.49,1.69,1.71,0.0
SW,0.14,0.25,0.53,0.97,1.34,0.0
WSW,0.05,0.35,0.69,1.13,2.22,0.0
W,0.0,0.42,1.5,2.33,2.03,0.0
WNW,0.0,0.05,0.46,0.83,0.92,0.0
NW,0.0,0.0,0.05,0.16,0.14,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
