,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.07,0.02,0.02,0.0
NE,0.02,0.31,0.62,1.7,1.75,0.0
ENE,0.12,0.5,0.98,2.01,1.53,0.0
E,0.31,0.72,0.96,1.63,1.0,0.0
ESE,0.26,0.67,1.63,2.99,1.48,0.0
SE,0.31,0.55,1.46,1.75,1.17,0.0
SSE,0.36,0.77,1.08,1.82,0.77,0.0
S,0.31,0.69,1.75,1.82,0.48,0.0
SSW,0.29,0.77,1.82,3.04,2.3,0.0
SW,0.36,0.69,1.08,1.82,2.87,0.0
WSW,0.48,0.98,0.98,1.7,2.89,0.0
W,0.14,1.12,1.53,1.2,1.53,0.0
WNW,0.07,0.6,1.55,1.27,0.38,0.0
NW,0.0,0.0,0.0,0.02,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
