,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.02,0.0,0.0
NE,0.0,0.23,0.49,0.99,1.06,0.0
ENE,0.02,0.3,0.69,1.18,0.9,0.0
E,0.07,0.25,0.76,0.95,0.46,0.0
ESE,0.21,0.37,0.81,1.78,1.85,0.0
SE,0.09,0.32,1.06,1.09,0.88,0.0
SSE,0.23,0.58,1.11,1.39,0.72,0.0
S,0.14,0.53,1.71,1.46,0.83,0.0
SSW,0.16,0.69,0.97,1.85,0.95,0.0
SW,0.12,0.49,0.6,0.92,1.57,0.0
WSW,0.09,0.44,0.72,1.29,2.03,0.0
W,0.09,0.39,0.92,1.55,2.45,0.0
WNW,0.0,0.05,0.3,0.55,0.76,0.0
NW,0.0,0.02,0.02,0.02,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
