,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.0,0.22,0.14,0.43,0.0
ENE,0.14,0.24,0.33,0.33,0.31,0.0
E,0.65,0.53,0.24,0.1,0.17,0.0
ESE,0.57,0.41,1.15,0.93,1.34,0.0
SE,0.26,0.69,0.81,1.32,1.7,0.0
SSE,0.29,0.5,1.15,1.15,1.34,0.0
S,0.31,0.48,1.39,1.75,0.96,0.0
SSW,0.24,0.48,1.22,2.65,1.46,0.0
SW,0.38,0.6,1.77,2.68,2.39,0.0
WSW,0.43,1.0,1.24,2.08,3.71,0.0
W,0.07,0.48,1.15,2.65,2.53,0.0
WNW,0.0,0.24,0.62,1.27,0.84,0.0
NW,0.0,0.0,0.0,0.02,0.14,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
