,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.02,0.0,0.0
NE,0.05,0.07,0.53,1.91,2.53,0.0
ENE,0.12,0.19,0.84,1.89,2.73,0.0
E,0.19,0.41,1.36,2.3,1.91,0.0
ESE,0.17,0.43,0.81,1.82,1.39,0.0
SE,0.1,0.53,1.03,1.32,0.81,0.0
SSE,0.1,0.24,0.84,1.2,0.72,0.0
S,0.12,0.31,1.17,1.58,0.62,0.0
SSW,0.14,0.33,0.86,2.18,1.77,0.0
SW,0.17,0.41,0.6,0.91,1.03,0.0
WSW,0.02,0.38,0.72,1.22,1.53,0.0
W,0.0,0.24,0.79,1.24,1.65,0.0
WNW,0.0,0.19,0.74,1.67,1.2,0.0
NW,0.0,0.0,0.1,0.19,0.26,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
