,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.02,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.16,0.45,0.31,0.0
ENE,0.09,0.11,0.4,0.78,0.58,0.0
E,0.13,0.43,0.69,0.65,0.45,0.0
ESE,0.22,0.51,0.87,1.3,1.5,0.0
SE,0.11,0.49,0.58,0.87,0.51,0.0
SSE,0.13,0.43,1.03,0.96,0.54,0.0
S,0.25,0.51,1.28,1.21,0.85,0.0
SSW,0.22,0.45,2.08,4.45,3.22,0.0
SW,0.18,0.65,1.41,2.44,2.53,0.0
WSW,0.2,0.72,1.14,1.97,2.53,0.0
W,0.16,1.36,1.14,2.15,2.8,0.0
WNW,0.02,0.51,1.41,1.57,0.9,0.0
NW,0.0,0.0,0.04,0.16,0.11,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
