,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.07,0.55,0.69,2.08,2.24,0.0
ENE,0.07,0.46,0.62,1.69,1.46,0.0
E,0.18,0.53,1.13,1.06,0.9,0.0
ESE,0.16,0.39,1.06,2.4,1.78,0.0
SE,0.12,0.35,0.67,1.16,1.53,0.0
SSE,0.14,0.37,0.49,1.09,0.86,0.0
S,0.14,0.28,0.95,1.43,0.65,0.0
SSW,0.14,0.51,1.53,1.99,1.32,0.0
SW,0.05,0.65,0.95,1.55,1.53,0.0
WSW,0.12,0.62,1.13,1.94,2.94,0.0
W,0.05,0.65,1.25,1.64,2.31,0.0
WNW,0.0,0.14,0.74,0.53,0.76,0.0
NW,0.0,0.0,0.12,0.07,0.12,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
