,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.05,0.0,0.0,0.02,0.0
NE,0.02,0.49,0.58,2.17,2.75,0.0
ENE,0.12,0.3,0.97,2.08,2.47,0.0
E,0.05,0.28,0.86,1.78,1.27,0.0
ESE,0.09,0.28,1.39,1.36,2.08,0.0
SE,0.12,0.39,0.67,1.06,1.02,0.0
SSE,0.12,0.28,0.42,0.81,0.67,0.0
S,0.09,0.23,0.74,0.51,0.42,0.0
SSW,0.28,0.25,0.86,0.9,0.81,0.0
SW,0.18,0.28,0.9,1.23,0.67,0.0
WSW,0.07,0.55,1.16,1.06,0.81,0.0
W,0.0,0.3,1.41,1.41,2.03,0.0
WNW,0.02,0.32,0.67,1.11,0.42,0.0
NW,0.0,0.0,0.05,0.12,0.07,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
