,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.05,0.0,0.0
NE,0.0,0.0,0.62,1.13,1.76,0.0
ENE,0.05,0.23,0.76,1.76,2.06,0.0
E,0.05,0.35,0.55,1.18,1.27,0.0
ESE,0.25,0.55,0.81,1.43,1.78,0.0
SE,0.32,0.21,0.65,0.83,0.65,0.0
SSE,0.35,0.35,0.81,0.6,0.25,0.0
S,0.49,0.42,1.06,0.74,0.42,0.0
SSW,0.32,0.44,1.43,2.98,3.1,0.0
SW,0.42,0.51,1.23,2.43,2.5,0.0
WSW,0.39,0.65,0.92,2.27,2.54,0.0
W,0.21,0.97,1.53,2.03,2.4,0.0
WNW,0.16,0.95,1.36,1.48,1.18,0.0
NW,0.0,0.05,0.23,0.18,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
