,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.02,0.0,0.07,0.26,0.67,0.0
ENE,0.07,0.02,0.1,0.96,1.15,0.0
E,0.17,0.17,0.72,0.69,1.03,0.0
ESE,0.12,0.24,0.65,0.96,1.29,0.0
SE,0.05,0.29,0.43,0.31,0.72,0.0
SSE,0.1,0.19,0.53,0.45,0.19,0.0
S,0.19,0.19,0.69,0.5,0.22,0.0
SSW,0.29,0.1,0.65,1.43,1.72,0.0
SW,0.22,0.41,0.57,1.15,0.81,0.0
WSW,0.1,0.36,0.77,1.7,2.2,0.0
W,0.17,0.31,1.15,2.58,3.2,0.0
WNW,0.05,0.14,0.55,1.34,1.82,0.0
NW,0.0,0.0,0.05,0.29,0.22,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
