,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.05,0.07,0.02,0.0,0.0
NE,0.02,0.25,0.95,1.16,0.97,0.0
ENE,0.16,0.32,0.92,1.39,1.32,0.0
E,0.18,0.39,1.29,1.85,1.02,0.0
ESE,0.25,0.55,1.5,2.36,2.22,0.0
SE,0.21,0.55,0.97,1.53,1.27,0.0
SSE,0.44,0.53,1.5,1.36,0.67,0.0
S,0.42,0.88,1.62,1.73,1.11,0.0
SSW,0.46,0.95,1.57,3.08,2.59,0.0
SW,0.32,0.69,1.16,2.06,1.36,0.0
WSW,0.14,1.09,1.09,1.69,1.9,0.0
W,0.14,0.92,1.41,2.13,3.56,0.0
WNW,0.02,0.28,1.32,2.29,1.99,0.0
NW,0.0,0.0,0.07,0.18,0.05,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
